NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251500,female,10,not found,0,trace head,light,12.07,0.08,0.598,0.148,Passeriformes,Furnariidae,Phleocryptes melanops,14,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,14.5,13.5,32.67,16.14,12.91,14.525,0.44459749,31.13,15.26,11.91,13.585,0.43639576,0.440595611,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251533,male,10,3 x 2 mm ,1,missing some retrices,trace,13.5,0.08,0.624,0.166,Passeriformes,Furnariidae,Phleocryptes melanops,14,January,2017,Ondores,4056,h,Peru,11,3.298,76,9.394,16.9,15.9,35.23,15.22,13.17,14.195,0.402923645,13.56,7.89,4.59,6.24,0.460176991,0.418835827,348,,1740,17400000,3480000000,3.48,120.3551227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251828,female,20,,0,trace head/neck,trace,11.37,0.078,0.48,0.094,Passeriformes,Furnariidae,Phleocryptes melanops,19,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251800,male,10,none,0,"moderate head; R6,5,4 left in sheath",light,12.08,0.078,0.518,0.144,Passeriformes,Furnariidae,Phleocryptes melanops,17,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,14.1,13.1,24.82,11.9,8.86,10.38,0.41821112,22.22,10.18,7.35,8.765,0.394464446,0.406994048,334,,1670,16700000,3340000000,3.34,121.8545053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278533,male,30,4 x 3 mm,1,trace body molt,trace,13.65,0.078,0.706,0.158,Passeriformes,Furnariidae,Phleocryptes melanops,11,December,2017,Laguna Napique,3,l,Peru,5,31.059,80,42.232,18.8,17.8,33.68,17.45,14.5,15.975,0.474317102,24.56,13.73,10.85,12.29,0.500407166,0.485319368,343,,1715,17150000,3430000000,3.43,141.4925272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,40 min,,whole blood saved wrong NK on tube should be 278533
279149,male,20,4 x 3 mm,1,moderate head and body,light,13.8,0.076,0.512,0.156,Passeriformes,Furnariidae,Phleocryptes melanops,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,14.8,13.8,51.47,21.95,20.32,21.135,0.41062755,29.57,13.68,11.73,12.705,0.429658438,0.41757157,511,,2555,25550000,5110000000,5.11,81.71654982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278534,female,30,6 x 3 mm,1,none,trace,12.34,0.076,0.532,0.15,Passeriformes,Furnariidae,Phleocryptes melanops,11,December,2017,Laguna Napique,6,l,Peru,5,31.026,80,42.232,15.9,14.9,24.09,12.1,10.45,11.275,0.46803653,27.41,15.5,11.96,13.73,0.500912076,0.485533981,371,,1855,18550000,3710000000,3.71,130.8716929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,45 min,,whole blood saved wrong NK on tube should be 278534
251516,female,60,no ,0,leve parte cuello,moderado,12.67,0.076,0.61,0.156,Passeriformes,Furnariidae,Phleocryptes melanops,15,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,15.7,14.7,41.31,19.62,18.29,18.955,0.458847737,39.76,18.59,17.51,18.05,0.453973843,0.456457383,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278529,male,60,not found,0,none,light,14.28,0.074,0.668,0.15,Passeriformes,Furnariidae,Phleocryptes melanops,10,December,2017,Laguna Napique,4,l,Peru,,,,,18.8,17.8,19.35,10.22,7.3,8.76,0.452713178,13.14,8.28,3.88,6.08,0.462709285,0.456755925,467,,2335,23350000,4670000000,4.67,97.8064079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,not noted,,
251352,male,40,none,0,"symmetrical-S6, Rt, R2, heavy body head neck",light,17.3,0.072,0.204,0.194,Passeriformes,Furnariidae,Phleocryptes melanops,25,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,15.9,14.9,16.06,8.92,5.77,7.345,0.457347447,17.72,9.19,7.12,8.155,0.460214447,0.458851391,369,,1845,18450000,3690000000,3.69,124.3499706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
