NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV
168668,male,100% ossified,no bursa,0,no molt,moderado,20.9,,,,Passeriformes,Passerellidae,Zonotrichia capensis,26,September,2009,San Pedro de Casta - Potago,4088,,,11,46.114,76,31.996,20.1,19.1,30.74,17.6,15.61,16.605,0.540175667,31.55,18.19,15.94,17.065,0.54088748,0.540536202,,,,,,5,108.1072403
168661,female,100% ossified,no bursa,0,no molt,moderado,23.6,,,,Passeriformes,Passerellidae,Zonotrichia capensis,25,September,2009,San Pedro de Casta - Potago,4088,,,11,46.114,76,31.996,20.5,19.5,27.68,16.64,14.97,15.805,0.570989884,22.43,13.35,11.78,12.565,0.560187249,0.56615446,,,,,,5.08,111.4477284
168633,male,100% ossified,no bursa,0,no molt,si leve,22.6,,,,Passeriformes,Passerellidae,Zonotrichia capensis,17,September,2009,San Pedro de Casta - Potago,4108,,,11,46.136,76,32.126,17.9,16.9,35.28,17.52,14.91,16.215,0.459608844,42.46,20.03,19.69,19.86,0.467734338,0.464046823,,,,,,3.72,124.7437696
251859,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,26,July,2015,Contunapampa,4160,,,11,46.034,76,31.476,,,,,,,,,,,,,,,,,,,,
251871,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,28,July,2015,Contunapampa,4160,,,11,46.034,76,31.476,,,,,,,,,,,,,,,,,,,,
168643,male,100% ossified,no bursa,0,no molt,si moderado,22.7,,,,Passeriformes,Passerellidae,Zonotrichia capensis,18,September,2009,San Pedro de Casta - Potago,4108,,,11,46.136,76,32.126,17.8,16.8,38.75,19.77,18.13,18.95,0.489032258,36.4,18.74,17,17.87,0.490934066,0.489953426,,,,,,5.74,85.3577398
168698,female,60% ossified,no bursa,0,no molt,moderado,21.4,,,,Passeriformes,Passerellidae,Zonotrichia capensis,29,September,2009,San Pedro de Casta - Potago,4131,,,11,46.163,76,31.967,20.3,19.3,18.5,11.41,10.22,10.815,0.584594595,,,,,,0.584594595,,,,,,8.26,70.77416399
251844,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,25,July,2015,Contunapampa,4168,,,11,46.029,76,31.431,,,,,,,,,,,,,,,,,,,,
175530,male,100% ossified,no bursa,0,no molt,si moderado,23,0.13,1.698,0.256,Passeriformes,Passerellidae,Zonotrichia capensis,25,October,2011,San Pedro de Casta,4142,,,11,46.038,76,31.486,20.4,19.4,47.59,26.57,24.51,25.54,0.536667367,52.31,29.64,27.89,28.765,0.549894858,0.543593594,,,,,,,
175524,female,100% ossified,no bursa,0,no molt,si moderado,21,0.1,1.582,0.294,Passeriformes,Passerellidae,Zonotrichia capensis,24,October,2011,San Pedro de Casta,4142,,,11,46.038,76,31.486,22,21,55.68,32.64,31.14,31.89,0.572737069,59.08,34.44,32.44,33.44,0.566012187,0.569275009,,,,,,,
175535,male,60% ossified,no bursa,0,no molt,si moderado,21,0.098,1.474,0.234,Passeriformes,Passerellidae,Zonotrichia capensis,26,October,2011,San Pedro de Casta,4142,,,11,46.038,76,31.486,,,33.42,23.45,20.65,22.05,0.65978456,36.89,25.71,23.52,24.615,0.667253998,0.663703598,,,,,,,
168598,male,100% ossified,no bursa,0,no molt,si leve,24.6,,,,Passeriformes,Passerellidae,Zonotrichia capensis,13,September,2009,San Pedro de Casta - Potago,4150,,,11,46.175,76,31.916,20.7,19.7,33.05,17.6,15.57,16.585,0.501815431,27.63,14.81,12.9,13.855,0.501447702,0.501647989,,,,,,3.34,150.1940088
251176,male,100,none,0,"light head, neck",trace,20.8,0.07,1.412,0.24,Passeriformes,Passerellidae,Zonotrichia capensis,8,February,2015,Contunapampa,4225,,,11,46.088,76,31.406,,,,,,,,,,,,,,,,,,,,
251873,female,100,none,0,"P:6,7, in sheath symmetrical, S:1 left; S:1,2, right; all retrices in sheath; heavy body, body, head, and neck",light,22.88,0.094,1.294,0.294,Passeriformes,Passerellidae,Zonotrichia capensis,28,July,2015,Contunapampa,4225,,,11,46.112,76,31.405,,,,,,,,,,,,,,,,,,,,
168599,male,100% ossified,no bursa,0,no molt,si leve,20.7,,,,Passeriformes,Passerellidae,Zonotrichia capensis,13,September,2009,San Pedro de Casta - Potago,4150,,,11,46.175,76,31.916,21.6,20.6,30.88,17.24,15.84,16.54,0.535621762,35.75,20,18.22,19.11,0.534545455,0.535044274,,,,,,3.49,153.307815
168591,male,100% ossified,no bursa,0,no molt,si moderado,23.5,,,,Passeriformes,Passerellidae,Zonotrichia capensis,12,September,2009,San Pedro de Casta - Potago,4150,,,11,46.175,76,31.916,,,34.71,19.96,17.54,18.75,0.540190147,29.6,17.54,15.21,16.375,0.553209459,0.546182553,,,,,,6.31,86.55824933
159789,male,0.55,not found,0,no,no,10.3,,,,Passeriformes,Troglodytidae,Troglodytes aedon,4,December,2006,Yanah1,4300,,,13,11.96,72,9.6,18.7,17.7,42.77,24.11,21.76,22.935,0.536240355,38.1,21.9,18.91,20.405,0.535564304,0.53592185,,,,,,4.71,113.7838322
159790,female,1,not found,0,no,no,11.4,,,,Passeriformes,Troglodytidae,Troglodytes aedon,4,December,2006,Yanah1,4300,,,13,11.96,72,9.6,19.5,18.5,36.26,22.09,19.1,20.595,0.567981247,37.5,22.83,19.92,21.375,0.57,0.569007592,,,,,,5.28,107.7665894
169312,female,100% ossified,no bursa,0,no wing/tail,trace,18.33,,,0.198,Passeriformes,Passerellidae,Zonotrichia capensis,9,January,2010,,4369,,,14,3.604,73,0.465,,,,,,,,,,,,,,,,,,,,
169428,male,100,none,0,none,light,10.8,,,0.15,Passeriformes,Troglodytidae,Troglodytes aedon,14,January,2010,,4363,,,14,3.603,73,0.096,11.6,10.6,17,7.52,5.12,6.32,0.371764706,11.03,5.31,2.95,4.13,0.374433364,0.372814841,,,,,,2.32,160.6960523
169334,male,100% ossified,no bursa,0,no molt,light,20.41,,,,Passeriformes,Passerellidae,Zonotrichia capensis,10,January,2010,,4375,,,14,3.604,73,0.465,21,20,21.96,15,12.33,13.665,0.62226776,30.88,20.35,17.81,19.08,0.617875648,0.619700984,,,,,,6.21,99.7908187
159886,male,100% ossified,no bursa found,0,trace of body molt,not recorded,21,,,,Passeriformes,Passerellidae,Zonotrichia capensis,12,December,2006,Yanah4,3005,,,13,16.044,72,10.934,,,,,,,,,,,,,,,,,,,,
169335,female,100,none,0,none,light,11.19,,,0.132,Passeriformes,Troglodytidae,Troglodytes aedon,10,January,2010,,4375,,,14,3.604,73,0.465,13.5,12.5,12.02,5.78,3.74,4.76,0.396006656,24.48,10.6,8.33,9.465,0.386642157,0.389726027,,,,,,,
159828,female,80% ossified,no bursa found,0,no molt,no,21.9,,,,Passeriformes,Passerellidae,Zonotrichia capensis,9,December,2006,Yanah2,3380,,,13,14.96,72,10.15,19.8,18.8,33.17,18.47,15.56,17.015,0.512963521,,,,0,,,,,,,,5.94,86.35749516
169315,male,100,none,0,"no body,wing,tail molt",light,10.81,,,0.174,Passeriformes,Troglodytidae,Troglodytes aedon,9,January,2010,,4375,,,14,3.604,73,0.465,,,,,,,,,,,,,,,,,,,,
163106,male,100% ossified,no bursa found,0,no molt,trace,19.15,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,January,2008,Carampoma,3981,,,11,37.667,76,26.047,,,,,,0,,,,,0,,,,,,,,,
168338,male,30,si 1x1,1,no,si leve,11.85,,,,Passeriformes,Troglodytidae,Troglodytes aedon,12,March,2009,Cordillera Vilcanota,4030,,,13,11.285,72,13.882,20.3,19.3,37.88,21.16,19.17,20.165,0.532338965,32.99,18.17,16.2,17.185,0.520915429,0.527021307,,,,,,8.02,65.71337988
169311,male,100,none,0,P1 in sheath,light,9.55,,,0.14,Passeriformes,Troglodytidae,Troglodytes aedon,9,January,2010,,4454,,,14,3.554,73,0.287,,,,,,,,,,,,,,,,,,,,
167791,male,0,Si 5x3 mm.,1,Abundante en el pecho,Poco,10.97,,,,Passeriformes,Troglodytidae,Troglodytes aedon,22,July,2008,"PERU: Dpto. Amazonas, Prov. Utcubamba, Dist. Lonya Grande, 4.5 km north Tullanya",2066,,,6,6.209,78,20.527,13.6,12.6,34.97,14.3,12.49,13.395,0.383042608,26.61,11.93,9.73,10.83,0.406989853,,,,,,,3.06,128.5590559
251492,,,,,,,,,,,Passeriformes,Passerellidae,Zonotrichia capensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251480,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168100A,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
